internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,title_clean,is_on_sale,days_since_last_change,game_age_days,discount_depth
STARWARSJEDISURVIVOR,STAR WARS Jedi: Survivor,/game/star-wars-jedi-survivor/,wzTRT1Kqwi%2BH%2FaIJ%2FfoYYlTH52bqthlOKQmEfe2y%2BJY%3D,25,254430,6.99,69.99,1,90.012859,78,Mixed,68,47672,1774580,2023-04-27,2026-03-30 16:10:26,10.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1774580/capsule_231x87.jpg?t=1748945254,star wars jedi survivor,1,1,1069,90.01285897985426
SUICIDESQUADKILLTHEJUSTICELEAGUE,Suicide Squad: Kill the Justice League,/game/suicide-squad-kill-the-justice-league/,oyadBOu1z6MVss1%2BMfCBqCSpNd8cUcuA9cl2j7PtgMc%3D,25,273928,3.49,69.99,1,95.013573,63,Mixed,62,7526,315210,2024-02-02,2026-03-30 16:05:22,10.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/315210/capsule_231x87.jpg?t=1739898445,suicide squad kill the justice league,1,1,788,95.01357336762395
EASPORTSPGATOUR,EA SPORTS PGA TOUR,/game/ea-sports-pga-tour/,d%2F76kKc8wzdFvnXE2GTj0ruDps28NPqKIfIvQ4AjZ8c%3D,25,256277,6.99,69.99,1,90.012859,72,Mixed,55,1842,1677350,2023-04-06,2026-03-30 16:10:39,10.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1677350/capsule_231x87.jpg?t=1748913401,ea sports pga tour,1,1,1090,90.01285897985426
SUICIDESQUADKILLTHEJUSTICELEAGUEDIGITALDELUXEEDITION,Suicide Squad: Kill the Justice League - Digital Deluxe Edition,,x9sPdlHkKso7HR7cc6%2Fo5AGZnAm5K7EAdnDknBAJoWY%3D,25,278533,4.99,99.99,1,95.009501,0,,0,0,,1970-01-01,2026-03-30 16:05:22,10.0,https://sttc.gamersgate.com/images/product/suicide-squad-kill-the-justice-league-digital-deluxe-edition/cover-180-c29cf2.jpg,suicide squad kill the justice league digital deluxe edition,1,1,20543,95.00950095009502
HAVENDOCK,Havendock,/game/havendock/,Ue5SsaTTTxBB%2FgB6%2FUE9IdMVd1SIlAgKj%2FuljlITpRo%3D,25,259713,0.0,19.99,1,100.0,0,Very Positive,82,1442,2020710,2025-04-22,2026-03-26 16:08:16,10.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2020710/f7d1360e88acc5d88c5db21d285c7f2f2966c176/capsule_231x87.jpg?t=1773056724,havendock,1,5,343,100.0
NEEDFORSPEEDUNBOUNDSTANDARDEDITION,Need for Speed Unbound Standard Edition,,GHtu5sEsQ5iEa9rCFH8n2QZR26CRxxhbCXmnPqI2Y4c%3D,25,258408,6.99,69.99,1,90.012859,0,,0,0,,1970-01-01,2026-03-30 16:11:43,10.0,https://cdn1.epicgames.com/offer/9acb0d22292b48acaeb0eb38b391df93/EGS_NeedforSpeedUnbound_CriterionGames_S2_1200x1600-9633e095cbd48726c6025f64d3114bb8,need for speed unbound standard edition,1,1,20543,90.01285897985426
WILDHEARTSSTANDARDEDITION,WILD HEARTS Standard Edition,,sd99iVUAHrkuyjiMCNytra%2Bbgh056rtQDXhJqeMc9CM%3D,25,257291,6.99,69.99,1,90.012859,0,,0,0,,1970-01-01,2026-03-30 16:11:16,10.0,https://cdn1.epicgames.com/offer/4cbfe407ada24702a556b6e4d28a8800/EGS_WILDHEARTSStandardEdition_KOEITECMOGAMESCOLTD_S2_1200x1600-398fdb8dbc918051f99347ebe0335973,wild hearts standard edition,1,1,20543,90.01285897985426
IMMORTALSOFAVEUMDELUXEEDITION,Immortals of Aveum Deluxe Edition,,Go76Xfz1d6FYF1CeZfy0FHKlMoW029FzeEims4aB60Q%3D,25,269918,6.99,69.99,1,90.012859,0,,0,0,,1970-01-01,2026-03-30 16:08:51,10.0,https://cdn1.epicgames.com/offer/33a47f9b76374045b7da20af80c40aa1/EGS_ImmortalsofAveumDeluxeEdition_AscendantStudios_Editions_S2_1200x1600-7457dd5d665aafef1e9306a8da24d4bd,immortals of aveum deluxe edition,1,1,20543,90.01285897985426
THECREWMOTORFESTSTANDARDEDITION,The Crew Motorfest Standard Edition,,OZUNWt%2FWK3aY0pVhuewV%2Byf77VT9Exz13flnkKiU%2B50%3D,25,272822,6.99,69.99,1,90.012859,0,,0,0,,1970-01-01,2026-03-30 16:08:36,10.0,https://images.greenmangaming.com/b6930f8cfc934fd793747a11752ab50d/9bbbfd806db94969bee7ee3192dcdf44.jpg,the crew motorfest standard edition,1,1,20543,90.01285897985426
THECREWMOTORFESTDELUXEEDITION,The Crew Motorfest Deluxe Edition,,0bXTeXdjCDn8%2Frra8xhiiyBhifC1t6Af5daa3BEHN%2BA%3D,25,278173,7.99,79.99,1,90.011251,0,,0,0,,1970-01-01,2026-03-30 16:07:37,10.0,https://images.greenmangaming.com/1aee68657c394446a9c7f50ea9ebe0ae/63a3d6ebed764c71835119b2bac0829a.jpg,the crew motorfest deluxe edition,1,1,20543,90.01125140642581
